SCOPE, TYPE, NAME, OFFSET, ISARRAY, NUM, SIZE 
OutputInt, int, n, 0, False, 1, 4 
ackerman, int, m, 4, False, 1, 4 
ackerman, int, n, 8, False, 1, 4 
ackerman, boolean, t0, 12, False, 1, 1 
ackerman, boolean, t2, 17, False, 1, 1 
ackerman1, int, t1, 13, False, 1, 4 
ackerman1, int, t3, 18, False, 1, 4 
ackerman1, int, t4, 22, False, 1, 4 
ackerman1, int, j, 26, False, 1, 4 
ackerman1, int, t5, 30, False, 1, 4 
ackerman1, int, t6, 34, False, 1, 4 
ackerman1, int, t7, 38, False, 1, 4 
ackerman1, int, t8, 42, False, 1, 4 
